GEO_ID,ZIP,Total Population,Median Household Income in $,Bachelors Degree or Higher %,Employment Rate %,Total Housing Units,Insured Population %,Total Households,CITY_NAME,Number of establishments,Annual payroll ($1000),Number of employees,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2,Crime Score per Person (out of 100),Normalized Total Population,Normalized Median Household Income in $,Normalized Bachelors Degree or Higher %,Normalized Employment Rate %,Normalized Total Housing Units,Normalized Insured Population %,Normalized Total Households,Normalized Number of establishments,Normalized Annual payroll ($1000),Normalized Number of employees,Normalized Crime Score per Person (out of 100),City Score
860Z200US02554,02554,13517,136887.0,57.5,66.9,10884,95.4,4576,Nantucket,1118,406008,4602,11393.0,27.0,0.0,2.0,0.0,25.0,154.0,17.0,133.0,4.0,1.0,17.693873926378576,0.19471894897576997,0.5475479999999999,0.5750000000000001,0.669,0.3648920477403782,0.9540000000000001,0.16323036313048442,0.5258701787394168,0.034353589452065125,0.06853517602907011,0.7897060788005943,68.30004953940323
860Z200US02556,02556,3338,129787.0,67.0,50.1,2666,99.3,929,North Falmouth,99,37399,680,,,,,,,,,,,,,0.048085510962574546,0.5191479999999999,0.67,0.501,0.08937910687944214,0.993,0.03313833202539773,0.04656632173095014,0.003164444769358691,0.010126883898254602,1.0,60.21335087939007
860Z200US02557,02557,2372,92022.0,40.4,38.9,2604,89.7,867,Oak Bluffs,253,121482,1355,4681.0,26.0,0.0,1.0,1.0,24.0,64.0,11.0,49.0,4.0,0.0,24.796100340593053,0.03416981186435795,0.36808799999999997,0.40399999999999997,0.389,0.08730052299852488,0.897,0.030926731825640298,0.11900282220131703,0.010278966803156035,0.02017930541490439,0.7052952229243965,45.241048942913324
860Z200US02558,02558,2178,72586.0,16.4,47.8,1700,90.2,994,Onset,43,6277,168,,,,,,,,,,,,,0.031375147656227495,0.290344,0.16399999999999998,0.478,0.056993428992892586,0.902,0.03545694513804666,0.02022577610536218,0.0005311163351229847,0.002501936021921725,1.0,44.83175243853983
860Z200US02559,02559,3388,93116.0,45.8,53.4,2636,97.4,1544,Pocasset,124,90772,1304,,,,,,,,,,,,,0.048805785243020545,0.37246399999999996,0.45799999999999996,0.534,0.08837334048544992,0.9740000000000001,0.05507597916815296,0.05832549388523048,0.007680498959978264,0.019419789122535294,1.0,54.56620775522801
860Z200US02561,02561,712,88060.0,59.4,89.6,377,96.0,241,Sagamore,32,14501,220,,,,,,,,,,,,,0.010256705753550952,0.35224,0.594,0.8959999999999999,0.012639131017835592,0.96,0.008596704002282943,0.015051740357478834,0.0012269743469202486,0.003276344790611783,1.0,61.099223743944066
860Z200US02562,02562,3204,114770.0,46.9,73.8,1618,100.0,1319,Sagamore Beach,93,44756,777,,,,,,,,,,,,,0.04615517589097928,0.45908,0.469,0.738,0.05424433418264718,1.0,0.04705001070129129,0.04374412041392286,0.0037869432363811222,0.01157145410138798,1.0,59.720946217771
860Z200US02563,02563,10070,118550.0,52.3,63.4,4760,98.5,4079,Sandwich,406,167149,3176,20016.0,40.0,0.0,5.0,1.0,34.0,97.0,16.0,79.0,2.0,2.0,13.769249550598072,0.14506324008182317,0.47419999999999995,0.523,0.634,0.15958160118009926,0.985,0.1455018905614611,0.1909689557855127,0.014142992560056042,0.04729850479537738,0.8363507340440812,60.362819593092084
860Z200US02564,02564,703,,61.0,34.4,1228,100.0,59,Siasconset,20,12790,56,,,,,,,,,,,,,0.010127056383070673,0.0,0.61,0.344,0.04116937106074829,1.0,0.0021045872868659487,0.009407337723424272,0.0010822013583277003,0.0008339786739739085,1.0,45.80925635446843
860Z200US02568,02568,8172,77078.0,38.7,68.3,5371,95.4,2807,Vineyard Haven,409,125897,2158,,,,,,,,,,,,,0.11772162839609324,0.308312,0.387,0.6829999999999999,0.18006571007107416,0.9540000000000001,0.10012841549546979,0.19238005644402634,0.010652533573837566,0.0321379639006374,1.0,57.828599512521414
860Z200US02571,02571,10858,82591.0,28.7,53.9,5886,97.0,4788,Wareham,313,262652,5968,22592.0,161.0,1.0,23.0,9.0,128.0,322.0,51.0,251.0,20.0,0.0,41.6403145856597,0.15641476274165203,0.330364,0.287,0.539,0.19733136650127397,0.97,0.1707926089748163,0.14722483537158984,0.022223796025604935,0.0888782986835051,0.5050996141020074,46.13296099672124
860Z200US02575,02575,3167,124622.0,56.0,59.9,2051,97.3,913,West Tisbury,113,33246,487,2911.0,7.0,0.0,1.0,0.0,6.0,17.0,2.0,11.0,4.0,0.0,13.723295278657458,0.04562217292344925,0.498488,0.56,0.599,0.06876089580260158,0.973,0.03256759648997646,0.05315145813734713,0.002813046626971284,0.007252635968308811,0.8368969063567396,56.396201798928836
860Z200US02576,02576,3957,59978.0,21.4,62.7,1876,96.9,1857,West Wareham,92,76773,1072,,,,,,,,,,,,,0.05700250655449595,0.239912,0.214,0.627,0.06289392517098029,0.9690000000000001,0.06624099307983164,0.043273753527751646,0.00649600038177424,0.015964734616071962,1.0,49.23932286723369
860Z200US02584,02584,35,,0.0,100.0,57,0.0,24,Nantucket,60,19750,218,11393.0,27.0,0.0,2.0,0.0,25.0,154.0,17.0,133.0,4.0,1.0,17.693873926378576,0.0005041919963121957,0.0,0.0,1.0,0.0019109561485852221,0.0,0.0008561033031319113,0.028222013170272814,0.0016711084305685755,0.0032465598379698576,0.7897060788005943,30.360173670550306
860Z200US02601,02601,16487,63432.0,25.3,71.7,8750,92.9,6784,Hyannis,1219,1111634,18306,,,,,,,,,,,,,0.237503241234262,0.253728,0.253,0.7170000000000001,0.2933485315810648,0.929,0.24199186701862027,0.5733772342427094,0.094058782233249,0.27262167153154226,1.0,64.90803410216208
860Z200US02630,02630,1956,135735.0,57.4,61.6,1181,90.1,690,Barnstable,83,19594,411,44032.0,178.0,2.0,22.0,14.0,140.0,425.0,61.0,350.0,14.0,7.0,31.90732826464675,0.02817712985104728,0.54294,0.574,0.616,0.03959367037682714,0.9009999999999999,0.02461296996504245,0.039040451552210725,0.001657908789294211,0.006120807767915649,0.6207773829694897,52.41121595124086
860Z200US02631,02631,10178,96133.0,48.7,51.9,8160,97.6,4491,Brewster,310,94008,1817,9725.0,25.0,0.0,4.0,0.0,21.0,38.0,9.0,28.0,1.0,0.0,12.686745067134503,0.1466190325275865,0.384532,0.48700000000000004,0.519,0.2735684591658844,0.976,0.1601983305985589,0.1458137347130762,0.007954306903336235,0.027059629475189136,0.849216436235172,56.11449507789566
860Z200US02632,02632,11475,114936.0,42.9,60.9,6220,96.5,4673,Centerville,280,75941,1553,,,,,,,,,,,,,0.1653029473623556,0.459744,0.429,0.609,0.20852889902105406,0.965,0.1666904473139759,0.1317027281279398,0.00642560229497763,0.023128015726454995,1.0,60.234998121626724
860Z200US02633,02633,4664,91974.0,66.8,41.5,5204,99.2,2332,Chatham,240,90438,1336,6117.0,8.0,0.0,2.0,1.0,5.0,59.0,12.0,47.0,0.0,0.0,12.051172598319942,0.0671871848800023,0.367896,0.668,0.41500000000000004,0.17446694381118413,0.9920000000000001,0.08318470428765072,0.11288805268109126,0.00765223818955751,0.0198963483648061,0.8567702951147778,55.26873829994463
860Z200US02635,02635,3632,94844.0,52.9,53.9,2315,95.9,1416,Cotuit,93,19108,323,,,,,,,,,,,,,0.05232072373159699,0.379376,0.529,0.539,0.07761164006973315,0.9590000000000001,0.050510094884782766,0.04374412041392286,0.0016167868299394603,0.004810269851670936,1.0,55.449832467475574
860Z200US02637,02637,267,207878.0,63.8,41.5,191,100.0,165,Cummaquid,6,2822,51,,,,,,,,,,,,,0.003846264657581607,0.8315119999999999,0.638,0.41500000000000004,0.0064033793750838145,1.0,0.0058857102090318905,0.0028222013170272815,0.00023877812612984912,0.0007595162923690952,1.0,62.05149190214881
860Z200US02638,02638,2968,105639.0,39.1,51.6,3031,92.4,1429,Dennis,90,21860,393,13738.0,88.0,0.0,17.0,1.0,70.0,194.0,45.0,144.0,5.0,0.0,36.38924327203129,0.042755481287274195,0.422556,0.391,0.516,0.10161593133968085,0.924,0.05097381750731255,0.04233301975540922,0.0018496420401128639,0.005852743194138321,0.567509258345847,45.23645825035434
860Z200US02639,02639,3238,57679.0,34.0,61.2,5015,95.7,1671,Dennis Port,119,29740,526,,,,,,,,,,,,,0.04664496240168256,0.23071599999999998,0.34,0.612,0.16813061552903313,0.9570000000000001,0.059606192480559324,0.055973659454374415,0.0025163931506384522,0.007833442544826354,1.0,51.36921259360319
860Z200US02641,02641,332,,83.5,55.8,485,95.9,154,East Dennis,39,12549,237,,,,,,,,,,,,,0.0047826212221613994,0.0,0.835,0.5579999999999999,0.01625989003620759,0.9590000000000001,0.005493329528429764,0.018344308560677328,0.001061809604820509,0.003529516888068148,1.0,53.07301412900503
860Z200US02642,02642,5752,80167.0,48.8,47.7,6105,98.1,2724,Eastham,137,22501,450,4823.0,5.0,0.0,2.0,0.0,3.0,38.0,2.0,35.0,1.0,0.0,9.721889507951428,0.08286035322250714,0.320668,0.488,0.47700000000000004,0.20467346117741722,0.981,0.09716772490547193,0.06444026340545626,0.0019038790276568868,0.006701614344433193,0.8844541181540504,52.31665967217436
860Z200US02643,02643,13,,,,38,,0,East Orleans,20,3840,72,,,,,,,,,,,,,0.0001872713129159584,0.0,0.0,0.0,0.0012739707657234813,0.0,0.0,0.009407337723424272,0.0003249142467535863,0.0010722582951093109,1.0,16.02116876923397
860Z200US02644,02644,3954,119779.0,36.1,72.7,1532,92.6,1513,Forestdale,81,20183,366,,,,,,,,,,,,,0.056959290097669195,0.479116,0.36100000000000004,0.7270000000000001,0.05136113718653614,0.9259999999999999,0.05397017906827424,0.0380997177798683,0.001707745896413446,0.00545064633347233,1.0,57.03369029196016
860Z200US02645,02645,10436,84693.0,41.7,55.4,6448,97.8,4718,Harwich,265,119659,2024,12028.0,22.0,0.0,2.0,1.0,19.0,103.0,26.0,72.0,5.0,1.0,15.384780088053807,0.15033564781468783,0.33877199999999996,0.41700000000000004,0.554,0.21617272361539494,0.978,0.16829564100734823,0.12464722483537159,0.010124717149033173,0.030142372073628403,0.817149950035303,53.69209278097383
860Z200US02646,02646,1926,70980.0,64.9,49.6,2551,96.2,1059,Harwich Port,117,40118,635,,,,,,,,,,,,,0.02774496528277968,0.28392,0.649,0.49600000000000005,0.08552366903580529,0.9620000000000001,0.03777555825069559,0.05503292568203199,0.003394507747724056,0.009456722463811284,1.0,55.066253857936566
860Z200US02647,02647,136,,80.0,54.5,196,100.0,66,Hyannis Port,10,3270,31,,,,,,,,,,,,,0.001959146042813103,0.0,0.8,0.545,0.006571007107415852,1.0,0.002354284083612756,0.004703668861712136,0.00027668478825110086,0.00046166676594984213,1.0,52.42904182869838
860Z200US02648,02648,7325,130177.0,39.4,66.4,3271,98.0,3016,Marstons Mills,201,57679,1197,,,,,,,,,,,,,0.1055201820853381,0.520708,0.394,0.664,0.10966206249161863,0.98,0.10758364842691019,0.09454374412041393,0.004880398135026069,0.01782629415619229,1.0,59.860886324525055
860Z200US02649,02649,15060,90465.0,41.8,55.9,10757,97.6,6768,Mashpee,486,166422,3494,14094.0,39.0,0.0,6.0,0.0,33.0,133.0,17.0,104.0,12.0,0.0,16.532974685703813,0.21694661327033335,0.36185999999999996,0.418,0.559,0.3606343033391445,0.976,0.241421131483199,0.2285983066792098,0.0140814788471941,0.0520343122654435,0.8035035125595719,57.31681505143481
860Z200US02650,02650,829,61276.0,50.5,39.7,851,100.0,450,North Chatham,41,25119,427,,,,,,,,,,,,,0.011942147569794578,0.245104,0.505,0.397,0.028530240042912703,1.0,0.016051936933723338,0.019285042333019756,0.002125396084427952,0.006359087389051052,1.0,49.44935633969294
860Z200US02652,02652,1402,,45.2,50.1,1659,100.0,693,North Truro,67,16032,269,,,,,,,,,,,,,0.020196490823705667,0.0,0.452,0.501,0.05561888158776988,1.0,0.02471998287793394,0.03151458137347131,0.001356516980196223,0.004006076130338953,1.0,46.398556415676396
860Z200US02653,02653,6307,89375.0,62.6,47.6,5512,99.6,3004,Orleans,385,137362,2657,5742.0,5.0,0.0,1.0,0.0,4.0,50.0,6.0,44.0,0.0,0.0,7.980060915697217,0.09085539773545766,0.3575,0.626,0.47600000000000003,0.18479281212283763,0.996,0.10715559677534424,0.18109125117591723,0.011622622594418262,0.03956930958479776,0.905155970458779,57.80901296498113
860Z200US02655,02655,3591,95563.0,55.0,58.4,3214,94.3,1544,Osterville,209,99999,1523,,,,,,,,,,,,,0.05173009882163128,0.382252,0.55,0.584,0.1077511063430334,0.943,0.05507597916815296,0.09830667920978363,0.008461223896122885,0.022681241436826115,1.0,57.54847019632861
860Z200US02657,02657,3664,91447.0,61.7,60.9,4983,97.3,1996,Provincetown,348,103344,1347,2939.0,16.0,0.0,2.0,1.0,13.0,51.0,8.0,41.0,2.0,0.0,30.237305169451528,0.05278169927108243,0.365788,0.617,0.609,0.1670577980421081,0.973,0.07119925804380396,0.16368767638758233,0.008744254665755891,0.02006016560433669,0.6406258178935454,54.08247579173008
860Z200US02659,02659,1100,72969.0,58.5,49.7,1256,100.0,507,South Chatham,47,12233,215,,,,,,,,,,,,,0.015846034169811864,0.29187599999999997,0.585,0.49700000000000005,0.0421080863618077,1.0,0.018085182278661627,0.022107243650047036,0.0010350718699314119,0.00320188240900697,1.0,53.61127171586327
860Z200US02660,02660,6662,85963.0,40.1,51.3,4908,98.6,2935,South Dennis,229,127078,2260,,,,,,,,,,,,,0.09596934512662422,0.343852,0.401,0.513,0.16454338205712754,0.986,0.10469429977883998,0.10771401693320791,0.010752461627331313,0.03365699648537559,1.0,54.748530717468014
860Z200US02663,02663,257,,85.1,58.5,455,100.0,206,South Wellfleet,16,5523,79,,,,,,,,,,,,,0.003702209801492408,0.0,0.851,0.585,0.015254123642215369,1.0,0.007348220018548905,0.007525870178739417,0.0004673180689635566,0.0011765056293560493,1.0,54.18363591114895
860Z200US02664,02664,9935,76448.0,36.2,49.9,7182,96.9,4181,South Yarmouth,347,162488,3032,,,,,,,,,,,,,0.14311849952461897,0.305792,0.36200000000000004,0.499,0.240780474721738,0.9690000000000001,0.14914032959977172,0.1632173095014111,0.013748610970441857,0.04515398820515876,1.0,54.87464206892705
860Z200US02666,02666,1052,89333.0,67.3,47.4,1342,100.0,338,Truro,47,9115,113,1984.0,5.0,0.0,1.0,0.0,4.0,5.0,0.0,5.0,0.0,0.0,11.62549185755372,0.015154570860583711,0.357332,0.6729999999999999,0.474,0.044991283357918736,1.0,0.012056788185774417,0.022107243650047036,0.0007712482706143071,0.0016828498242687795,0.8618295643583175,53.435620457692366
860Z200US02667,02667,3309,97438.0,56.3,53.1,3808,96.7,1769,Wellfleet,142,38141,482,2705.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,19.0,0.0,0.0,5.883516857694756,0.04766775187991587,0.389752,0.563,0.531,0.1276652809440794,0.9670000000000001,0.06310194763501463,0.06679209783631232,0.0032272276784970143,0.007178173586703997,0.9300736607712075,55.56128558640018
860Z200US02668,02668,3222,108651.0,52.0,78.7,1521,98.2,970,West Barnstable,115,22540,505,,,,,,,,,,,,,0.046414474631939845,0.434604,0.52,0.787,0.050992356175405665,0.9820000000000001,0.03460084183491475,0.05409219190968956,0.001907178937975478,0.007520700542086138,1.0,60.836918711548314
860Z200US02670,02670,1463,81250.0,55.8,41.4,2336,98.4,780,West Dennis,56,13572,245,,,,,,,,,,,,,0.02107522544584978,0.325,0.5579999999999999,0.414,0.0783156765455277,0.9840000000000001,0.027823357351787117,0.02634054562558796,0.0011483687908697066,0.0036486566986358494,1.0,52.40170298302382
860Z200US02671,02671,1216,97865.0,53.3,39.4,1583,96.9,405,West Harwich,55,9400,208,,,,,,,,,,,,,0.01751707050044657,0.39146,0.533,0.394,0.05307094005632292,0.9690000000000001,0.014446743240351003,0.025870178739416747,0.0007953629998655498,0.003097635074760231,1.0,52.33835085120365
860Z200US02672,02672,297,,100.0,100.0,321,0.0,28,West Hyannisport,12,697,9,,,,,,,,,,,,,0.004278429225849203,0.0,1.0,1.0,0.010761700415716778,0.0,0.0009987871869872298,0.005644402634054563,5.89753203091796e-05,0.00013403228688866386,1.0,51.674407155014826
860Z200US02673,02673,8892,69167.0,32.3,57.9,6394,93.6,3870,West Yarmouth,252,100945,1781,,,,,,,,,,,,,0.12809357803451554,0.27666799999999997,0.32299999999999995,0.579,0.21436234410620894,0.9359999999999999,0.1380466576300207,0.11853245531514582,0.008541267874619993,0.02652350032763448,1.0,53.55938518404441
860Z200US02675,02675,6712,104741.0,53.0,51.0,3994,99.4,3208,Yarmouth Port,179,75006,1162,,,,,,,,,,,,,0.09668961940707022,0.418964,0.53,0.51,0.13390103258683117,0.9940000000000001,0.11443247485196548,0.08419567262464722,0.006346489060416535,0.0173050574849586,1.0,57.86061588817157
860Z200US02702,02702,4267,121060.0,40.5,67.6,1590,95.1,1635,Assonet,127,137261,2434,,,,,,,,,,,,,0.06146820709326111,0.48424,0.405,0.6759999999999999,0.053305618881587774,0.951,0.05832203752586146,0.05973659454374412,0.01161407667282396,0.03624828736522309,1.0,58.006167152004124
860Z200US02703,02703,46389,91458.0,32.3,68.3,19057,97.1,17993,Attleboro,950,870233,15636,44959.0,123.0,0.0,27.0,14.0,82.0,522.0,69.0,427.0,26.0,1.0,19.953584975380892,0.6682560719121842,0.365832,0.32299999999999995,0.6829999999999999,0.6388963390103259,0.971,0.6418277805521867,0.4468485418626529,0.07363309887893585,0.232858759754572,0.7628491282396507,70.31452675701532
860Z200US02713,02713,39,73125.0,40.6,65.6,171,68.8,18,Cuttyhunk,8,913,20,,,,,,,,,,,,,0.0005618139387478752,0.2925,0.406,0.6559999999999999,0.005732868445755666,0.688,0.0006420774773489335,0.0037629350893697085,7.725174668906883e-05,0.000297849526419253,1.0,48.66560600729356
860Z200US02715,02715,4036,114899.0,33.1,69.9,1434,97.3,1367,Dighton,73,18263,358,,,,,,,,,,,,,0.058140539917600625,0.459596,0.331,0.6990000000000001,0.04807563363282822,0.973,0.04876221730755512,0.03433678269049859,0.0015452887730366528,0.005331506522904629,1.0,56.156699797723235
860Z200US02717,02717,4951,134948.0,35.1,66.6,1897,98.5,1608,East Freetown,108,50924,958,,,,,,,,,,,,,0.07132155924976231,0.5397919999999999,0.35100000000000003,0.6659999999999999,0.06359796164677485,0.985,0.05735892130983806,0.05079962370649106,0.00430883674522907,0.01426699231548222,1.0,58.075620167398306
860Z200US02718,02718,6882,98848.0,24.8,62.4,2603,96.4,2502,East Taunton,109,102213,1590,,,,,,,,,,,,,0.09913855196058659,0.39539199999999997,0.24800000000000003,0.624,0.08726699745205847,0.9640000000000001,0.08924876935150175,0.051269990592662275,0.008648557266516749,0.023679037350330615,1.0,53.381984889453925
860Z200US02719,02719,15924,86676.0,29.6,58.2,7670,98.0,6985,Fairhaven,398,500788,6707,15996.0,51.0,0.0,11.0,2.0,38.0,214.0,29.0,178.0,7.0,0.0,21.57678593916779,0.22939295283644012,0.34670399999999996,0.29600000000000004,0.5820000000000001,0.2571409413973448,0.98,0.24916173218235002,0.187206020696143,0.04237321765709244,0.0998838386846965,0.7435571802473849,54.06574573572169
860Z200US02720,02720,31209,60076.0,20.8,57.6,14727,94.8,13830,Fall River,750,927391,18266,89066.0,773.0,5.0,51.0,113.0,604.0,1074.0,412.0,499.0,163.0,21.0,56.29671041909585,0.44958080036878045,0.240304,0.20800000000000002,0.5760000000000001,0.49373072281078184,0.948,0.4933295284297639,0.3527751646284102,0.07846941359662894,0.27202597247870375,0.33090650278629086,51.41120116141619
860Z200US02721,02721,28075,51958.0,13.3,56.2,13035,96.7,11157,Fall River,619,338816,8390,89066.0,773.0,5.0,51.0,113.0,604.0,1074.0,412.0,499.0,163.0,21.0,56.29671041909585,0.40443400847042554,0.207832,0.133,0.562,0.43700549818962053,0.9670000000000001,0.3979810230434473,0.29115710253998117,0.0286682670385581,0.12494787633287663,0.33090650278629086,45.75436438437779
860Z200US02723,02723,16084,43579.0,11.3,56.5,7664,95.7,7605,Fall River,262,142157,2945,89066.0,773.0,5.0,51.0,113.0,604.0,1074.0,412.0,499.0,163.0,21.0,56.29671041909585,0.2316978305338673,0.174316,0.113,0.5650000000000001,0.25693978811854634,0.9570000000000001,0.2712777341799244,0.12323612417685795,0.012028342337434784,0.043858342765235,0.33090650278629086,38.368464418455694
860Z200US02724,02724,18050,46120.0,13.8,51.8,8719,93.5,8289,Fall River,224,135596,2697,89066.0,773.0,5.0,51.0,113.0,604.0,1074.0,412.0,499.0,163.0,21.0,56.29671041909585,0.2600190152410038,0.18448,0.138,0.518,0.2923092396406062,0.935,0.29567667831918387,0.10536218250235184,0.011473195886145648,0.040165008637636265,0.33090650278629086,38.24933928888217
860Z200US02725,02725,2632,129235.0,26.4,60.5,1022,98.6,846,Somerset,59,44286,1194,18036.0,43.0,0.0,3.0,4.0,36.0,130.0,8.0,114.0,8.0,0.0,11.311136597318203,0.037915238122677115,0.51694,0.264,0.605,0.03426310848866837,0.986,0.030177641435399874,0.0277516462841016,0.0037471750863878445,0.017781616727229405,0.865565716237756,51.72439927019215
860Z200US02726,02726,15671,103508.0,34.8,61.9,6426,98.7,6498,Somerset,277,111448,2431,18036.0,43.0,0.0,3.0,4.0,36.0,130.0,8.0,114.0,8.0,0.0,11.311136597318203,0.22574836497738338,0.41403199999999996,0.348,0.619,0.21543516159313397,0.9870000000000001,0.231789969322965,0.13029162746942616,0.009429959107342106,0.036203609936260206,0.865565716237756,57.18083923677259
860Z200US02738,02738,5347,111351.0,47.3,51.1,2692,98.2,2047,Marion,165,131815,2168,5132.0,4.0,0.0,1.0,0.0,3.0,32.0,4.0,28.0,0.0,0.0,6.759680571284571,0.07702613155089458,0.44540399999999997,0.473,0.511,0.09025077108756874,0.9820000000000001,0.07301847756295927,0.07761053621825023,0.011153273811412494,0.032286888663847026,0.9196603446308258,55.174359613406565
