CITY_NAME,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Blooming Grove Town,11816.0,6.0,0.0,1.0,0.0,5.0,54.0,8.0,45.0,1.0,0.0
Bolton Town,2251.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,8.0,1.0,0.0
Boonville Village,1995.0,1.0,0.0,1.0,0.0,0.0,11.0,2.0,8.0,1.0,
Brant Town,2055.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0
Brewster,2345.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0
Briarcliff Manor Village,8267.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,29.0,0.0,0.0
Brighton Town,36036.0,25.0,0.0,5.0,4.0,16.0,611.0,85.0,507.0,19.0,0.0
Brockport Village,8241.0,10.0,0.0,3.0,1.0,6.0,59.0,5.0,52.0,2.0,0.0
Bronxville Village,6459.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,28.0,1.0,0.0
Brownville Village,1093.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Buchanan Village,2243.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0
Buffalo,255686.0,2533.0,47.0,121.0,802.0,1563.0,8298.0,1610.0,6009.0,679.0,143.0
Cairo Town,6413.0,1.0,0.0,0.0,0.0,1.0,30.0,5.0,24.0,1.0,0.0
Cambridge Village,1794.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,17.0,0.0,0.0
Camden Village,2164.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,22.0,1.0,0.0
Camillus Town and Village,24160.0,17.0,0.0,7.0,2.0,8.0,277.0,22.0,245.0,10.0,2.0
Canajoharie Village,2136.0,1.0,0.0,1.0,0.0,0.0,15.0,2.0,12.0,1.0,0.0
Canandaigua,10217.0,45.0,0.0,22.0,3.0,20.0,178.0,22.0,148.0,8.0,0.0
Canastota Village,4513.0,7.0,0.0,3.0,1.0,3.0,33.0,7.0,24.0,2.0,1.0
Canisteo Village,2131.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0
Canton Village,6407.0,3.0,0.0,1.0,0.0,2.0,18.0,2.0,16.0,0.0,0.0
Cape Vincent Village,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmel Town,34251.0,8.0,0.0,0.0,0.0,8.0,76.0,5.0,69.0,2.0,0.0
Carroll Town,3329.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,14.0,0.0,0.0
Carthage Village,3336.0,1.0,0.0,1.0,0.0,0.0,45.0,3.0,41.0,1.0,0.0
Catskill Village,3797.0,6.0,0.0,0.0,1.0,5.0,71.0,18.0,52.0,1.0,0.0
Cattaraugus Village,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayuga Heights Village,3666.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0
Cazenovia Village,2842.0,2.0,0.0,1.0,0.0,1.0,18.0,3.0,15.0,0.0,0.0
Central Square Village,1749.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,62.0,0.0,1.0
Centre Island Village,410.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Chatham Village,1619.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
Cheektowaga Town,76821.0,187.0,2.0,15.0,57.0,113.0,2153.0,208.0,1856.0,89.0,4.0
Chester Town,8043.0,8.0,0.0,1.0,3.0,4.0,7.0,0.0,7.0,0.0,0.0
Chester Village,4120.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0
Chittenango Village,4835.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,16.0,2.0,0.0
Cicero Town,28732.0,5.0,0.0,1.0,1.0,3.0,174.0,18.0,150.0,6.0,0.0
Clarkstown Town,80599.0,56.0,0.0,12.0,11.0,33.0,985.0,33.0,918.0,34.0,2.0
Clayton Village,1828.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0
Clyde Village,1937.0,3.0,0.0,0.0,1.0,2.0,23.0,8.0,15.0,0.0,0.0
Cobleskill Village,4329.0,15.0,0.0,2.0,1.0,12.0,51.0,2.0,48.0,1.0,1.0
Coeymans Town,7297.0,17.0,0.0,2.0,1.0,14.0,71.0,4.0,65.0,2.0,0.0
Cohocton Town,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cohoes,16717.0,37.0,2.0,5.0,3.0,27.0,153.0,14.0,127.0,12.0,1.0
Colchester Town,1965.0,5.0,0.0,1.0,1.0,3.0,14.0,3.0,9.0,2.0,0.0
Cold Spring Village,1955.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
Colonie Town,79509.0,62.0,0.0,10.0,19.0,33.0,1870.0,120.0,1716.0,34.0,5.0
Cornwall-on-Hudson Village,2914.0,1.0,0.0,0.0,0.0,1.0,15.0,1.0,14.0,0.0,0.0
Cornwall Town,9502.0,2.0,0.0,1.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0
Cortland,18655.0,55.0,0.0,27.0,6.0,22.0,325.0,77.0,246.0,2.0,1.0
Coxsackie Village,2653.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Crawford Town,9171.0,1.0,0.0,0.0,1.0,0.0,64.0,13.0,49.0,2.0,1.0
Croton-on-Hudson Village,8131.0,3.0,0.0,0.0,0.0,3.0,36.0,2.0,32.0,2.0,0.0
Cuba Town,3083.0,1.0,0.0,0.0,0.0,1.0,27.0,3.0,24.0,0.0,0.0
Dansville Village,4389.0,1.0,0.0,0.0,0.0,1.0,52.0,7.0,44.0,1.0,0.0
Deerpark Town,7714.0,11.0,0.0,2.0,0.0,9.0,49.0,8.0,35.0,6.0,0.0
Delhi Village,3094.0,8.0,0.0,1.0,0.0,7.0,22.0,6.0,16.0,0.0,0.0
Depew Village,15008.0,15.0,0.0,5.0,2.0,8.0,193.0,27.0,156.0,10.0,1.0
Deposit Village,1524.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,8.0,1.0,0.0
DeWitt Town,25000.0,36.0,0.0,3.0,12.0,21.0,608.0,62.0,514.0,32.0,1.0
Dexter Village,1011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Dobbs Ferry Village,10990.0,4.0,0.0,0.0,2.0,2.0,44.0,2.0,38.0,4.0,0.0
Dryden Village,2121.0,4.0,0.0,2.0,1.0,1.0,24.0,3.0,21.0,0.0,0.0
Dunkirk,11712.0,21.0,1.0,0.0,5.0,15.0,210.0,37.0,168.0,5.0,0.0
